,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK,UK_gridwatch
AT,1.0,0.11828090774484513,0.22412729301391768,0.1824206827798728,0.5544482364955389,0.31591349367085386,,0.11958737272288894,0.029403425783773644,,0.08042971300259134,0.06086907543275178,0.1319876675539626,0.8495951696059268,0.11731182627198034,0.25170285651739094,0.10869390883672717,0.09970677030165204,0.16107007556348737,0.12111960182575666,0.4155158349862618,0.004807121531427098,0.19739748955939282,0.04202391571400239,0.12447178618177974,,0.5724246208810309,0.09171461396275808
BE,0.11828090774484513,1.0,0.013678261134968537,0.4623677270424916,0.44855830271361313,0.711974410224632,,0.22048281871374392,0.2065965373526063,,0.7485709748534901,-0.028447571686114306,-0.06417360183819389,0.10438293628880566,0.4119431953944252,0.29094853466164594,0.7494987473041399,0.23091555565775315,0.9219966659345721,0.31397334420145434,0.37234787908729255,0.178502936330801,0.017918463605608625,-0.07359840425581485,0.17170951922031238,,0.2382261329860982,0.6902397646849001
BG,0.22412729301391768,0.013678261134968537,1.0,0.0781643227067189,0.14207267042998137,0.11134941977430243,,0.08580274783121827,0.10526911379595527,,0.0642210656076559,0.32457845383884415,0.2762681859715194,0.21273120817153499,0.03109582475332165,0.04019559181379352,0.06322746963462461,-0.04462335690619722,0.05134979420180602,0.16590115019024,0.09486659327309852,0.08485056337628256,0.7212174065821918,0.036174913394654985,0.15716399183219654,,0.12084627037245933,0.058916685367444564
CH,0.1824206827798728,0.4623677270424916,0.0781643227067189,1.0,0.43898977331520395,0.5003981444729819,,0.20600232601752852,0.22359344077549098,,0.6498827007402036,0.030333034422922747,-0.021935507218178857,0.15725097416888809,0.205989033068203,0.27433602927135664,0.5802596507172525,0.21360483058236893,0.40274597546496926,0.22065673577773148,0.3302500002593762,0.16912738512864908,0.08311340935957458,-0.04844903825420346,0.16158945408662573,,0.288740008422392,0.31487518071493237
CZ,0.5544482364955389,0.44855830271361313,0.14207267042998137,0.43898977331520395,1.0,0.7768240735032321,,0.30534019977665616,0.1539647668984076,,0.4276373626513431,0.00026165567274099964,-0.0843321297393615,0.4560972716781117,0.2653633773274455,0.4541803710836841,0.5054620557451767,0.25254738691497225,0.4862738357607126,0.23631434404587215,0.7021774927925318,0.1319113375815284,0.12934375917915714,-0.10019356671664485,0.26836309726768287,,0.5599084199420277,0.3624714448824003
DE,0.31591349367085386,0.711974410224632,0.11134941977430243,0.5003981444729819,0.7768240735032321,1.0,,0.33338165808576303,0.2152053933800203,,0.5979317676217356,-0.004933665960723782,-0.08875209165430167,0.2651185320782352,0.3315065960545306,0.46089479036014236,0.6837569121236254,0.29819018203865755,0.7873201603428207,0.38076129652453317,0.6857220190883362,0.18644463285606627,0.11282819567318454,-0.11111452486118535,0.31333851590589457,,0.4085872988955533,0.5718713691828604
DK,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
EE,0.11958737272288894,0.22048281871374392,0.08580274783121827,0.20600232601752852,0.30534019977665616,0.33338165808576303,,1.0,0.04522651919454009,,0.1627973806604869,0.05065185168889495,-0.051950799903695284,0.09830748052925667,0.11044340932535623,0.6125983283688385,0.2177585909471992,0.6384621708511728,0.227452964865373,0.26915497615543765,0.43759094540342025,0.08391677671498557,0.09075433520519376,-0.1334741189111001,0.5569604616480428,,0.22801656075446347,0.213880643994232
ES,0.029403425783773644,0.2065965373526063,0.10526911379595527,0.22359344077549098,0.1539647668984076,0.2152053933800203,,0.04522651919454009,1.0,,0.3939465146916521,0.12611661407198282,0.042990388006274007,0.02562629745982401,0.1485008777364549,0.08453209934552075,0.270251639755134,0.060498009974532856,0.1869040949781571,0.1205827200061592,0.14097207513843735,0.6621937001073687,0.04916752323021783,0.05658213582240701,0.022497011926782936,,0.07782105415731591,0.1638843845975577
FI,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
FR,0.08042971300259134,0.7485709748534901,0.0642210656076559,0.6498827007402036,0.4276373626513431,0.5979317676217356,,0.1627973806604869,0.3939465146916521,,1.0,0.03706738545030447,-0.023984860923874644,0.06844892923190177,0.3380566689225999,0.2393555335975793,0.8203901637345414,0.18617127671184636,0.6236068891866691,0.2591591106489273,0.33951088603724444,0.2786489712274017,0.05111718672784766,-0.014854824927523418,0.11690210821711612,,0.1899669319392355,0.47382920200444073
GR,0.06086907543275178,-0.028447571686114306,0.32457845383884415,0.030333034422922747,0.00026165567274099964,-0.004933665960723782,,0.05065185168889495,0.12611661407198282,,0.03706738545030447,1.0,0.18735872096542563,0.037925694604056225,0.0526339108271211,-0.03953780080123886,-0.008321509730123218,0.046251727744871164,-0.014205091676477967,0.10987338985450679,-0.008982032646356526,0.04209899605044551,0.19406036917520106,0.06059134253988624,0.11397071424830792,,0.025974578710740735,0.026978872447635433
HR,0.1319876675539626,-0.06417360183819389,0.2762681859715194,-0.021935507218178857,-0.0843321297393615,-0.08875209165430167,,-0.051950799903695284,0.042990388006274007,,-0.023984860923874644,0.18735872096542563,1.0,0.20239709433269437,0.03587808530799988,-0.09257632357654438,-0.03744067951322493,-0.09508285566726753,-0.04580915218459678,0.08048284260255188,-0.1163391104886526,-0.02690062722238247,0.23832096548504447,0.14272681653748692,0.039344165960530336,,-0.018651410228347244,-0.008850212371810807
HU,0.8495951696059268,0.10438293628880566,0.21273120817153499,0.15725097416888809,0.4560972716781117,0.2651185320782352,,0.09830748052925667,0.02562629745982401,,0.06844892923190177,0.037925694604056225,0.20239709433269437,1.0,0.1037281106935201,0.22900271785354268,0.10307653681412036,0.06022497692390095,0.13170861287621005,0.11079608475895475,0.3699240371897958,-0.007850120685436031,0.20090276666453616,0.05602873590886639,0.12164945372963716,,0.5185721648565528,0.07860085719812232
IE,0.11731182627198034,0.4119431953944252,0.03109582475332165,0.205989033068203,0.2653633773274455,0.3315065960545306,,0.11044340932535623,0.1485008777364549,,0.3380566689225999,0.0526339108271211,0.03587808530799988,0.1037281106935201,1.0,0.12323330843495066,0.3428901078171671,0.15217536630813888,0.35776727722813967,0.11447485020238568,0.1674758479495518,0.06580170113238872,0.007737538673857705,-0.09772053241904052,0.03770605269563389,,0.11809803821151965,0.6170190753097271
LT,0.25170285651739094,0.29094853466164594,0.04019559181379352,0.27433602927135664,0.4541803710836841,0.46089479036014236,,0.6125983283688385,0.08453209934552075,,0.2393555335975793,-0.03953780080123886,-0.09257632357654438,0.22900271785354268,0.12323330843495066,1.0,0.2881556818605616,0.7046470088249992,0.29230889951433364,0.23537883534277015,0.7046462130478338,0.08558384144414888,0.0646099454775468,-0.06353876056496484,0.46785900641573713,,0.3002535540996775,0.2273268326574969
