pair,optimal_lag_hours,max_correlation
AT-BE,22.0,0.24752634696586107
AT-BG,-13.0,0.30014774376236675
AT-CH,14.0,0.2831490607190722
AT-CZ,4.0,0.5792628468906362
AT-DE,13.0,0.37902532780416154
AT-DK,-48.0,0.0
AT-EE,-48.0,0.17510897971071396
AT-ES,22.0,0.0885818543913851
AT-FI,-48.0,0.0
AT-FR,21.0,0.2207407768496546
AT-GR,-13.0,0.09443285598258294
AT-HR,-16.0,0.21576829786355292
AT-HU,-1.0,0.8607705197717443
AT-IE,-18.0,0.1726639567103344
AT-LT,2.0,0.2539598079023637
AT-LU,21.0,0.25055132536832936
AT-LV,16.0,0.13257863103610654
AT-NL,22.0,0.2708363467725458
AT-NO,-25.0,0.1510528802049133
AT-PL,0.0,0.4155158349861841
AT-PT,-38.0,0.034728207198471334
AT-RO,-13.0,0.25768581103732574
AT-RS,-7.0,0.0829414949677951
AT-SE,24.0,0.15544338693987994
AT-SI,-48.0,0.0
AT-SK,0.0,0.5724246207805264
AT-UK_gridwatch,31.0,0.23188385732125175
BE-BG,-32.0,0.06343048584873894
BE-CH,-4.0,0.4729316303174086
BE-CZ,-13.0,0.5430416801809804
BE-DE,-5.0,0.7360310557794796
BE-DK,-48.0,0.0
BE-EE,2.0,0.22178293608116503
BE-ES,-25.0,0.26849513713985346
BE-FI,-48.0,0.0
BE-FR,0.0,0.7485709748534027
BE-GR,-19.0,-0.005685195053707609
BE-HR,-48.0,0.03090791654635338
BE-HU,-25.0,0.23002817942067477
BE-IE,10.0,0.49602775789710907
BE-LT,-21.0,0.3246482651949099
BE-LU,-1.0,0.7564859677690554
BE-LV,-20.0,0.2623118145858719
BE-NL,-1.0,0.9223393276427672
BE-NO,-2.0,0.3158821679148101
BE-PL,-17.0,0.44494257515259017
BE-PT,-11.0,0.20092011983096297
BE-RO,-46.0,0.09407435149689976
BE-RS,46.0,0.01816354037602617
BE-SE,-22.0,0.1939800969835775
BE-SI,-48.0,0.0
BE-SK,-19.0,0.29476334779228835
BE-UK_gridwatch,2.0,0.6968863535366027
BG-CH,48.0,0.12693553780034103
BG-CZ,-41.0,0.19881570620625444
BG-DE,31.0,0.16637405034288777
BG-DK,-48.0,0.0
BG-EE,-34.0,0.14172619293820954
BG-ES,48.0,0.1733711151068066
BG-FI,-48.0,0.0
BG-FR,-19.0,0.11097253194026199
BG-GR,0.0,0.3245784538385802
BG-HR,20.0,0.37301771492660596
BG-HU,14.0,0.3084823421660844
BG-IE,36.0,0.07042811296663605
BG-LT,-43.0,0.09696221462870988
BG-LU,48.0,0.10105089195068928
BG-LV,-36.0,3.74714832648559e-05
BG-NL,31.0,0.09174101039556196
BG-NO,31.0,0.217315218468732
BG-PL,-43.0,0.16378499160620152
BG-PT,-27.0,0.17229594092500955
BG-RO,1.0,0.723224890301453
BG-RS,6.0,0.06481754238551844
BG-SE,5.0,0.1609729843507005
BG-SI,-48.0,0.0
BG-SK,12.0,0.1534336330111736
BG-UK_gridwatch,45.0,0.07562546417358122
CH-CZ,-9.0,0.4701568950942296
CH-DE,0.0,0.5003981444695151
CH-DK,-48.0,0.0
CH-EE,40.0,0.22565532052459694
CH-ES,16.0,0.2426249395586254
CH-FI,-48.0,0.0
CH-FR,3.0,0.6684957760392356
CH-GR,-23.0,0.043813090307884564
CH-HR,-48.0,0.10334976483425241
CH-HU,-19.0,0.25464170673207004
CH-IE,28.0,0.2841066268846652
CH-LT,1.0,0.27616320134950656
CH-LU,1.0,0.5848535440420023
CH-LV,1.0,0.2141350152419486
CH-NL,2.0,0.4053625456917705
CH-NO,-26.0,0.23111915088688292
CH-PL,-21.0,0.3441918552197919
CH-PT,19.0,0.19663152808597473
CH-RO,-45.0,0.15770074502677398
CH-RS,-23.0,0.01838230584098452
CH-SE,24.0,0.17988480992182013
CH-SI,-48.0,0.0
CH-SK,-12.0,0.35160635990590017
CH-UK_gridwatch,23.0,0.33788476474542567
CZ-DE,3.0,0.7936522728260736
CZ-DK,-48.0,0.0
