step,country_added,portfolio_size,portfolio_cv,marginal_cv_reduction,portfolio_mean_gw,portfolio_min_gw
1,ES,1,0.584211601523367,0.0,6.529388255667507,0.0
2,SE,2,0.4565415626690255,21.85338985419567,9.94626420871379,0.493
3,IE,3,0.42618481072312625,6.64928550391516,11.154677297603115,0.590735
4,IT,4,0.4090133417760605,4.0291133130554675,13.51588931743939,0.890735
5,GR,5,0.3971970364219267,2.888977973878262,14.504981670241657,1.376735
6,DK,6,0.3868381945998994,2.6079856776734744,16.53661589076275,2.05095
7,RO,7,0.38081611937491194,1.5567426663274475,17.309578329987932,2.20831
8,AT,8,0.3775060906360047,0.8691934428459746,18.20330548285317,2.26631
9,NO,9,0.3766912824277866,0.21583975157734772,19.49164038701721,2.5059699999999996
10,BG,10,0.3760636175496061,0.16662580406299332,19.64925080046967,2.50797
11,EE,11,0.3757530253125221,0.08259034444964558,19.74496139555783,2.5604699999999996
12,CZ,12,0.37546078009403444,0.07777587904836544,19.821730707142766,2.5924099999999997
13,HR,13,0.3752382176511374,0.05927714815946772,20.062054258189676,2.59793
14,HU,14,0.3751338848135698,0.0278044273370391,20.134657285353043,2.6061975
15,LU,15,0.375101150197647,0.008726115461166509,20.176596810207414,2.6772774999999998
16,CH,16,0.3750932933397114,0.0020945971323853064,20.192067441111067,2.6850575
17,SI,17,0.3750858113244975,0.00199470780917644,20.192662935837134,2.6854474999999995
18,SK,18,0.37508287708238397,0.0007822855530430624,20.19312761428487,2.6861474999999997
19,LV,19,0.3751301604770631,-0.012606119225417578,20.21406496511925,2.6871474999999996
20,LT,20,0.3754745987911057,-0.09181834742494198,20.429593735240868,2.6898374999999994
21,BE,21,0.37621070278247665,-0.19604628215622727,21.71797751220661,3.226125
22,PT,22,0.3764836927419227,-0.0725630497556368,23.20720396647298,3.326625
23,FI,23,0.378996837755169,-0.6675309081631413,24.452166602847353,3.55986
24,PL,24,0.3849200616020262,-1.5628689363058907,26.5343703605221,3.7419900000000004
25,NL,25,0.3926499659496335,-2.0081843267497277,28.187015624233336,3.936785
26,GB,26,0.4017481268393948,-2.317117452883822,34.10637401536999,5.836294999999999
27,FR,27,0.41228467211598546,-2.622674400371952,38.64022616223317,6.776294999999999
28,DE,28,0.46168314828475276,-11.981642663365943,53.388462113951135,7.712650000000002
