step,country_added,portfolio_size,portfolio_cv,marginal_cv_reduction,portfolio_mean_gw,portfolio_min_gw
1,FR,1,0.7368425578661717,0.0,4.533852146863192,0.003
2,ES,2,0.5392325283110545,26.818487537877516,11.0632404025307,0.896
3,SE,3,0.4584023724116706,14.989851623483164,14.480116355576982,1.222
4,IT,4,0.4378993074603163,4.472722260028228,16.841328375413255,2.029
5,GR,5,0.42374825201879496,3.2315774883484494,17.830420728215522,2.165
6,IE,6,0.41129565644779714,2.938677743606478,19.038833817104848,2.839295
7,DK,7,0.40204043004745765,2.2502611576969547,21.07046803762595,3.030485
8,RO,8,0.39578246382128024,1.5565514705669554,21.843430476851125,3.267485
9,AT,9,0.3922129564248904,0.9018861932199416,22.737157629716368,3.806205
10,NO,10,0.38992252690902024,0.5839759952725541,24.025492533880406,4.02902
11,HR,11,0.38907931237602134,0.21625181281092004,24.26581608492732,4.054495
12,BG,12,0.38830078304694843,0.20009527731469487,24.423426498379772,4.065495
13,EE,13,0.387929865224901,0.09552332579317875,24.51913709346794,4.123295
14,PT,14,0.3875493365663279,0.09809212764593965,26.008363547734312,4.489495
15,HU,15,0.38737090377430855,0.04604131014653586,26.080966574897666,4.489495
16,CZ,16,0.3872258053281627,0.03745723923301954,26.1577358864826,4.505574999999999
17,LT,17,0.387218747500736,0.001822664535679364,26.373264656604213,4.510885
18,SI,18,0.3872119090875122,0.0017660336096677566,26.373860151330287,4.511235000000001
19,SK,19,0.3872096302757977,0.0005885179822763654,26.374324829778026,4.511235000000001
20,LV,20,0.3872207019118719,-0.0028593390268564513,26.395262180612406,4.514235
21,CH,21,0.38728161328850835,-0.01573040292931032,26.41073281151606,4.515195
22,LU,22,0.38751818217087536,-0.0610844600543356,26.452672336370433,4.5302500000000006
23,FI,23,0.38794424261674265,-0.1099459239513626,27.69763497274481,4.644090000000001
24,PL,24,0.39197007227005093,-1.0377340893509457,29.779838730419552,4.700720000000001
25,BE,25,0.3969245078391884,-1.2639831251514773,31.06822250738529,4.930540000000001
26,GB,26,0.4035766730238393,-1.6759270474036785,36.987580898521934,6.645154999999998
27,NL,27,0.41228467211598546,-2.1577062487037657,38.64022616223317,6.776294999999998
28,DE,28,0.4616831482847527,-11.981642663365928,53.38846211395114,7.712650000000002
