,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK
AT,1.0,0.14642332949015313,0.12299350277685346,0.2529012937233848,0.4856501171039417,0.2556775143689809,0.14320135711770834,0.1003112936746615,0.22199995079704335,0.058011254162051225,0.18545512143313894,0.1449909834869764,0.08586165783870622,0.1312487424062563,0.8324601429117362,0.12890944414322159,0.32511627742447313,0.12825809654530693,0.2071130807920464,0.11409313676372172,0.12275985517874223,0.13158460625274132,0.33642219162850606,0.09319604415676197,0.19024705498189576,0.2753059017857917,0.13357898741507426,0.03132666780935381,0.6582102816715776
BE,0.14642332949015313,1.0,-0.036287423582722515,0.5058497069403196,0.5055597656146309,0.7301234666270817,0.40398250276473546,0.21016245800496552,0.12281590971394513,0.1166504687160047,0.7292586170475648,0.6092647095799952,-0.06621655976943966,-0.14161105306818428,0.145046951722075,0.36875018904662726,0.07391192341609118,0.3129660160873205,0.7424789081215045,0.25977863567106557,0.9115780194530424,0.24787966944588172,0.4268759278965212,0.11248086854451808,-0.011735420953502737,0.03820807179962253,0.18167127406610314,-0.18212369030323933,0.19129996486137735
BG,0.12299350277685346,-0.036287423582722515,1.0,0.011618749084779141,0.002238643879189148,-0.018778932497749614,-0.029443311323106573,-0.026819304358952425,0.15156597835139893,0.10423413823052936,-0.011213227537057942,0.08517545616249117,0.3770841099141319,0.2694520662921516,0.11167428297392211,0.04704778130064052,0.30213084379834876,-0.01771738783059571,-0.007252241351106779,-0.03750181381298705,-0.02653021882367951,0.0901246231348458,-0.004693492698117721,0.089084229465556,0.6962672804464486,0.19713542839709516,0.08619042788326749,0.08201297707797729,0.04344433529292008
CH,0.2529012937233848,0.5058497069403196,0.011618749084779141,1.0,0.48500004009757425,0.5120072355095546,0.25315861771094667,0.11397117855618813,0.35742129447701176,0.080726948487035,0.7335791218063314,0.3601035229215684,-0.011432201894802837,0.011501961749405838,0.26288145659190354,0.2346044719131784,0.3002323004567104,0.19534862190913097,0.642143627832986,0.1134331316186407,0.41045846822203524,0.12718622449215167,0.29681805556383417,0.2456825898523648,0.041661370673119105,0.17213421302289142,0.050106629821449186,-0.12407600320826873,0.2827660031184471
CZ,0.4856501171039417,0.5055597656146309,0.002238643879189148,0.48500004009757425,1.0,0.7475279884812043,0.4337294852452734,0.19097283819232355,0.10088184804985005,0.1264225781530595,0.43143227413265517,0.3671740000814571,-0.01310653402710314,-0.11649052789453888,0.379769037359659,0.26750096670877377,0.16907105602765268,0.38962615417087887,0.5281926722915865,0.295068259384484,0.49148513340676214,0.18729035499423705,0.7036783011679014,0.06002436320744754,0.07056576559306398,0.08327418393858718,0.20805390330390772,-0.11625719663534838,0.4944570961740825
DE,0.2556775143689809,0.7301234666270817,-0.018778932497749614,0.5120072355095546,0.7475279884812043,1.0,0.7030041660845512,0.25810544491552295,0.1222831737144715,0.1462925210032675,0.5652558141408128,0.5528616735501818,-0.05029513400457005,-0.1255581839389008,0.2252940943777214,0.3324878236315263,0.12401552128588084,0.43498985102945786,0.6757379273677829,0.35379190263843857,0.7842101081838545,0.3130790095468179,0.7063581236662527,0.09667602425420672,0.036657428274940354,0.07517851072464946,0.2609273888526708,-0.16016343126937263,0.3114328305513717
DK,0.14320135711770834,0.40398250276473546,-0.029443311323106573,0.25315861771094667,0.4337294852452734,0.7030041660845512,1.0,0.300874770366956,0.07545367474498177,0.14829299951505207,0.2550656328615697,0.39319058016082054,-0.004455861743618363,-0.054138265808940066,0.1403085082431509,0.2295334038757699,0.05014934180828023,0.38354859781489237,0.3073598948771491,0.4059988693003707,0.4876535295720901,0.4543120437606751,0.5832038032363837,0.064671263793089,0.029043163293582096,0.06318186206613331,0.39203693513040666,-0.04797376019872031,0.2158412681832018
EE,0.1003112936746615,0.21016245800496552,-0.026819304358952425,0.11397117855618813,0.19097283819232355,0.25810544491552295,0.300874770366956,1.0,0.04722192946082753,0.46635285576209096,0.14770550907274077,0.1795820234127667,-0.001597084884476058,0.002040631024996735,0.09278190865127695,0.08773043701849463,0.07583329528174115,0.565244561039251,0.16883504853371245,0.7028896274922751,0.21625023870071325,0.3071614158525571,0.3547008733597521,0.038358561059446246,0.005919940093985871,0.06805720079447555,0.5177842534616198,0.014957604970160463,0.1280794042361413
ES,0.22199995079704335,0.12281590971394513,0.15156597835139893,0.35742129447701176,0.10088184804985005,0.1222831737144715,0.07545367474498177,0.04722192946082753,1.0,0.1758507866763548,0.40751196135579554,0.13580006650019652,0.1158663334512837,0.24115683741131383,0.24146957780490347,0.030262081034032513,0.3818929248162157,0.0317220984563342,0.25043399659121246,0.020233664219447372,0.08135473736272754,0.1762392855293089,0.03287539166125425,0.705989113691916,0.1740343663502211,0.28712357717761355,0.06726202943180663,0.1125472633290974,0.17731186850987027
FI,0.058011254162051225,0.1166504687160047,0.10423413823052936,0.080726948487035,0.1264225781530595,0.1462925210032675,0.14829299951505207,0.46635285576209096,0.1758507866763548,1.0,0.133433507534842,0.15129952090646345,0.13806698468802836,0.11549991516125116,0.0331864579089833,0.03935012432513054,0.10246398814546252,0.24379442829530693,0.09933821576279925,0.26828902469467836,0.11344580730270533,0.3976675931081577,0.1834507566028782,0.19482909516492952,0.13436832564162243,0.10566873145422573,0.6268788408109928,0.060835470283185464,0.054642097502232825
FR,0.18545512143313894,0.7292586170475648,-0.011213227537057942,0.7335791218063314,0.43143227413265517,0.5652558141408128,0.2550656328615697,0.14770550907274077,0.40751196135579554,0.133433507534842,1.0,0.46745051908761254,-0.08017320124684205,-0.01156490086128475,0.20408348165735,0.3211728997606886,0.21213535074299789,0.20735891745291848,0.7813899835109707,0.15621607100059967,0.5881954338723596,0.20068874283157842,0.2973000646164205,0.29007486132234983,0.016168619070344475,0.10688834425179042,0.07210605541549443,-0.09288412933720572,0.2107512209038283
GB,0.1449909834869764,0.6092647095799952,0.08517545616249117,0.3601035229215684,0.3671740000814571,0.5528616735501818,0.39319058016082054,0.1795820234127667,0.13580006650019652,0.15129952090646345,0.46745051908761254,1.0,0.03299487212992943,-0.02395699925615581,0.13619842175818475,0.5039148857215353,0.09608697992586558,0.36303484909461126,0.42705732999690077,0.23574466916608527,0.6540642685070149,0.30526319508531574,0.3992733859410318,0.12382992090705222,0.06956819570238491,0.015494367863050891,0.18954871708130358,-0.06210638235807451,0.15839559888402552
GR,0.08586165783870622,-0.06621655976943966,0.3770841099141319,-0.011432201894802837,-0.01310653402710314,-0.05029513400457005,-0.004455861743618363,-0.001597084884476058,0.1158663334512837,0.13806698468802836,-0.08017320124684205,0.03299487212992943,1.0,0.17717396905714106,0.07975839106503381,-0.029020132687603777,0.29065280369452573,-0.017108137772549856,-0.05889883594753018,-0.03642344304448545,-0.04817753444623116,0.08381507859510964,-0.017927449073872177,0.07686885032397393,0.2094731822751454,0.1553255000077166,0.11031499454403945,0.04012199281798281,-0.03300660065548799
HR,0.1312487424062563,-0.14161105306818428,0.2694520662921516,0.011501961749405838,-0.11649052789453888,-0.1255581839389008,-0.054138265808940066,0.002040631024996735,0.24115683741131383,0.11549991516125116,-0.01156490086128475,-0.02395699925615581,0.17717396905714106,1.0,0.22597655454561716,-0.021342670994456234,0.5541125888803686,-0.10855914370575678,-0.05658357435509902,-0.0735323349918194,-0.13100595232734136,0.11110410200390303,-0.11488539427974954,0.12892044854750198,0.2710983558172923,0.29501809463472506,0.11278943196118343,0.3908217399382065,0.01214274828307324
HU,0.8324601429117362,0.145046951722075,0.11167428297392211,0.26288145659190354,0.379769037359659,0.2252940943777214,0.1403085082431509,0.09278190865127695,0.24146957780490347,0.0331864579089833,0.20408348165735,0.13619842175818475,0.07975839106503381,0.22597655454561716,1.0,0.12941398889692007,0.37290841804815883,0.12052295943966293,0.19699710707424734,0.09931302583901258,0.1143145494837037,0.1251735034851712,0.30034730489646705,0.09887280188835475,0.19116438296118757,0.3626899795894701,0.09816814589915686,0.04452288551785807,0.618553715977931
IE,0.12890944414322159,0.36875018904662726,0.04704778130064052,0.2346044719131784,0.26750096670877377,0.3324878236315263,0.2295334038757699,0.08773043701849463,0.030262081034032513,0.03935012432513054,0.3211728997606886,0.5039148857215353,-0.029020132687603777,-0.021342670994456234,0.12941398889692007,1.0,0.07436579902754047,0.18891602609513727,0.2810427766817115,0.1740053981265294,0.34525644216055995,0.13921222720554235,0.2782016930280966,0.06344205524564117,0.06405087054088346,-0.04394949974210934,0.07163658501015083,-0.07889522625956169,0.09638497568305007
IT,0.32511627742447313,0.07391192341609118,0.30213084379834876,0.3002323004567104,0.16907105602765268,0.12401552128588084,0.05014934180828023,0.07583329528174115,0.3818929248162157,0.10246398814546252,0.21213535074299789,0.09608697992586558,0.29065280369452573,0.5541125888803686,0.37290841804815883,0.07436579902754047,1.0,0.025034585126821617,0.169554712951161,0.007115033241523779,0.0653892793969307,0.0514427379422934,0.05933061736149024,0.23912493520595535,0.33005394664289833,0.425005359516212,0.02986427239889365,0.11867211343774202,0.15787694173250383
LT,0.12825809654530693,0.3129660160873205,-0.01771738783059571,0.19534862190913097,0.38962615417087887,0.43498985102945786,0.38354859781489237,0.565244561039251,0.0317220984563342,0.24379442829530693,0.20735891745291848,0.36303484909461126,-0.017108137772549856,-0.10855914370575678,0.12052295943966293,0.18891602609513727,0.025034585126821617,1.0,0.2858688448341184,0.7329150326789179,0.35517042283835315,0.22804362447137466,0.6685636850931482,0.03662197812298554,0.0355134743077183,0.024690238526558658,0.40834164292556163,-0.07041901244846639,0.17373761684183286
LU,0.2071130807920464,0.7424789081215045,-0.007252241351106779,0.642143627832986,0.5281926722915865,0.6757379273677829,0.3073598948771491,0.16883504853371245,0.25043399659121246,0.09933821576279925,0.7813899835109707,0.42705732999690077,-0.05889883594753018,-0.05658357435509902,0.19699710707424734,0.2810427766817115,0.169554712951161,0.2858688448341184,1.0,0.20227801809933663,0.6601226458130371,0.17760779410147143,0.3870788190086061,0.17071695090891206,0.03313277177289421,0.09105730046320282,0.1349680613241493,-0.13963287466190685,0.24098929727683355
LV,0.11409313676372172,0.25977863567106557,-0.03750181381298705,0.1134331316186407,0.295068259384484,0.35379190263843857,0.4059988693003707,0.7028896274922751,0.020233664219447372,0.26828902469467836,0.15621607100059967,0.23574466916608527,-0.03642344304448545,-0.0735323349918194,0.09931302583901258,0.1740053981265294,0.007115033241523779,0.7329150326789179,0.20227801809933663,1.0,0.27449273879597313,0.27231495045927084,0.5089846805070378,0.018001236733950442,0.034452286520048135,-0.0005659063001179353,0.46563998961712566,-0.02469611517271539,0.13948801719401882
NL,0.12275985517874223,0.9115780194530424,-0.02653021882367951,0.41045846822203524,0.49148513340676214,0.7842101081838545,0.4876535295720901,0.21625023870071325,0.08135473736272754,0.11344580730270533,0.5881954338723596,0.6540642685070149,-0.04817753444623116,-0.13100595232734136,0.1143145494837037,0.34525644216055995,0.0653892793969307,0.35517042283835315,0.6601226458130371,0.27449273879597313,1.0,0.26670994374974016,0.4675815868255927,0.08013756919157437,0.0017542434553456218,0.028834230989957164,0.2087667301923272,-0.15085859339119367,0.1660198106462532
NO,0.13158460625274132,0.24787966944588172,0.0901246231348458,0.12718622449215167,0.18729035499423705,0.3130790095468179,0.4543120437606751,0.3071614158525571,0.1762392855293089,0.3976675931081577,0.20068874283157842,0.30526319508531574,0.08381507859510964,0.11110410200390303,0.1251735034851712,0.13921222720554235,0.0514427379422934,0.22804362447137466,0.17760779410147143,0.27231495045927084,0.26670994374974016,1.0,0.2492206275115115,0.16530537332210882,0.12386524037814087,0.07329019278066837,0.586646132916284,0.08112503469606658,0.15761095038382925
PL,0.33642219162850606,0.4268759278965212,-0.004693492698117721,0.29681805556383417,0.7036783011679014,0.7063581236662527,0.5832038032363837,0.3547008733597521,0.03287539166125425,0.1834507566028782,0.2973000646164205,0.3992733859410318,-0.017927449073872177,-0.11488539427974954,0.30034730489646705,0.2782016930280966,0.05933061736149024,0.6685636850931482,0.3870788190086061,0.5089846805070378,0.4675815868255927,0.2492206275115115,1.0,0.043639619480336296,0.05746389174280518,0.08673835564490961,0.3749300685722178,-0.09584042648811905,0.3798809456168734
PT,0.09319604415676197,0.11248086854451808,0.089084229465556,0.2456825898523648,0.06002436320744754,0.09667602425420672,0.064671263793089,0.038358561059446246,0.705989113691916,0.19482909516492952,0.29007486132234983,0.12382992090705222,0.07686885032397393,0.12892044854750198,0.09887280188835475,0.06344205524564117,0.23912493520595535,0.03662197812298554,0.17071695090891206,0.018001236733950442,0.08013756919157437,0.16530537332210882,0.043639619480336296,1.0,0.11442647434180482,0.15977755357294687,0.08201236339415974,0.04633799526009707,0.14041671935436856
RO,0.19024705498189576,-0.011735420953502737,0.6962672804464486,0.041661370673119105,0.07056576559306398,0.036657428274940354,0.029043163293582096,0.005919940093985871,0.1740343663502211,0.13436832564162243,0.016168619070344475,0.06956819570238491,0.2094731822751454,0.2710983558172923,0.19116438296118757,0.06405087054088346,0.33005394664289833,0.0355134743077183,0.03313277177289421,0.034452286520048135,0.0017542434553456218,0.12386524037814087,0.05746389174280518,0.11442647434180482,1.0,0.227066740601102,0.10831240571394431,0.12711300154526745,0.11367906378242293
RS,0.2753059017857917,0.03820807179962253,0.19713542839709516,0.17213421302289142,0.08327418393858718,0.07517851072464946,0.06318186206613331,0.06805720079447555,0.28712357717761355,0.10566873145422573,0.10688834425179042,0.015494367863050891,0.1553255000077166,0.29501809463472506,0.3626899795894701,-0.04394949974210934,0.425005359516212,0.024690238526558658,0.09105730046320282,-0.0005659063001179353,0.028834230989957164,0.07329019278066837,0.08673835564490961,0.15977755357294687,0.227066740601102,1.0,0.053887909208760236,0.0742706492526388,0.250676115255367
SE,0.13357898741507426,0.18167127406610314,0.08619042788326749,0.050106629821449186,0.20805390330390772,0.2609273888526708,0.39203693513040666,0.5177842534616198,0.06726202943180663,0.6268788408109928,0.07210605541549443,0.18954871708130358,0.11031499454403945,0.11278943196118343,0.09816814589915686,0.07163658501015083,0.02986427239889365,0.40834164292556163,0.1349680613241493,0.46563998961712566,0.2087667301923272,0.586646132916284,0.3749300685722178,0.08201236339415974,0.10831240571394431,0.053887909208760236,1.0,0.08118959696315581,0.12262886441015414
SI,0.03132666780935381,-0.18212369030323933,0.08201297707797729,-0.12407600320826873,-0.11625719663534838,-0.16016343126937263,-0.04797376019872031,0.014957604970160463,0.1125472633290974,0.060835470283185464,-0.09288412933720572,-0.06210638235807451,0.04012199281798281,0.3908217399382065,0.04452288551785807,-0.07889522625956169,0.11867211343774202,-0.07041901244846639,-0.13963287466190685,-0.02469611517271539,-0.15085859339119367,0.08112503469606658,-0.09584042648811905,0.04633799526009707,0.12711300154526745,0.0742706492526388,0.08118959696315581,1.0,-0.031908367765490116
SK,0.6582102816715776,0.19129996486137735,0.04344433529292008,0.2827660031184471,0.4944570961740825,0.3114328305513717,0.2158412681832018,0.1280794042361413,0.17731186850987027,0.054642097502232825,0.2107512209038283,0.15839559888402552,-0.03300660065548799,0.01214274828307324,0.618553715977931,0.09638497568305007,0.15787694173250383,0.17373761684183286,0.24098929727683355,0.13948801719401882,0.1660198106462532,0.15761095038382925,0.3798809456168734,0.14041671935436856,0.11367906378242293,0.250676115255367,0.12262886441015414,-0.031908367765490116,1.0
