,AT,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IT,LT,LU,LV,NL,NO,PL,PT,RO,RS,SE,SI,SK
AT,1.0,0.07373396490775469,0.09430067646829826,0.08227808294376343,0.32467568038483363,0.1695941470354233,0.038152684829374846,0.025757795960248055,-0.007759518560855219,0.022040713925219956,-0.01524939804197201,0.08226363289090576,0.088431957088381,0.05425842711670634,0.3713554613031462,0.12710259080866448,0.057445557457991125,0.06556764727036841,0.11353541623276132,0.016974095079253047,0.09153172830618296,0.009215852204635333,0.24703740160213317,-0.036016927853285294,0.1585027626500728,0.13287391848942168,0.14187301804872307,0.07588182500218782,0.33662232907693385
BE,0.07373396490775469,1.0,0.02923842875272692,0.20186709755139726,0.35236244938143785,0.6433799632971873,0.3116012675096491,0.20283211326914843,0.10734044248016156,0.09688431721516921,0.4836370652188447,0.5998315373836117,-0.006190596046619388,0.08313896371808507,0.13146867301257834,0.38800336328193424,0.06197639971157137,0.25006597680351655,0.8293238899171604,0.22514309823247908,0.8388275423133292,-0.014201385270404373,0.34060514198389535,0.03247327314806068,0.10025127995553021,-0.017383497034998568,0.14651074677098436,0.15289900287799427,0.08103320196189545
BG,0.09430067646829826,0.02923842875272692,1.0,0.042763561198981094,0.018994389723487923,0.0019149927236841323,-0.04357311661220442,-0.04125040063453831,0.0037178027710035467,-0.03492842314270997,0.027839371945050827,0.044003615815004185,0.1743318640551886,0.07497436977584163,0.12374645136138063,0.05505040231592231,-0.018393492875456878,-0.036943360571703644,0.02530988675748398,-0.05398989643168727,0.01804829333888502,-0.024204980645121568,0.015298151791237329,-0.030312561579090853,0.23439341534266775,0.29668583657610115,0.01688312268349605,0.10127421604314071,0.08371686154457514
CH,0.08227808294376343,0.20186709755139726,0.042763561198981094,1.0,0.21861396169866096,0.20189847102697286,0.1311296803072527,0.07328842998744846,0.06494111557918696,0.054130868655503234,0.19727147780103013,0.13636755144427004,0.05213690496679507,0.08565468298626643,0.1757315584048263,0.12067179427576712,0.010037959616224496,0.09396753093936078,0.24799250282912252,0.08369476400634066,0.1876860328548454,0.012334619275165515,0.1821039924239672,0.01051367309686294,0.039400071462766646,0.00022302316900318242,0.11180505569864217,0.10852342520204508,0.1279044131239058
CZ,0.32467568038483363,0.35236244938143785,0.018994389723487923,0.21861396169866096,1.0,0.6318518257130298,0.3290799603668597,0.14926976574596743,-0.013475724633051932,0.06757154088349707,0.1340644290081,0.28082424589545546,0.03808718461125293,0.08513916482325609,0.39901197235717323,0.2437866427430263,0.015651775776637143,0.30711772124832587,0.4265813957389333,0.22458330994444745,0.4031233137637116,0.08228462992078166,0.6466816977020288,-0.04241429917599926,0.2501875060605554,0.0203441350208328,0.2105898140519331,0.1607291958891442,0.4008966632317815
DE,0.1695941470354233,0.6433799632971873,0.0019149927236841323,0.20189847102697286,0.6318518257130298,1.0,0.407169564049434,0.2232871568376332,0.027973960564312807,0.10064509912944752,0.26036265078096515,0.45587066619401795,0.0037652283587616894,0.05983140422939468,0.1889902455060513,0.32669247494316733,0.03303796059907164,0.348123137986192,0.7091575433706138,0.2692584846346636,0.6989279451446562,0.07403363785546997,0.5796982867438164,-0.01946060513033382,0.1486300757655501,-0.04275293232937782,0.18424665638293683,0.16686453177578658,0.1681172309524494
DK,0.038152684829374846,0.3116012675096491,-0.04357311661220442,0.1311296803072527,0.3290799603668597,0.407169564049434,1.0,0.3335429157012115,0.03955627599931722,0.17118136109055793,0.09708106755546002,0.32181648006498514,-0.05711178612514948,0.07033798631092944,0.12159315683723974,0.23647697629581507,0.04701549855146321,0.362573985849916,0.25794146254542527,0.32155652566389825,0.433343370533757,0.3953933346453836,0.4250765117099783,0.029290321681757353,0.06969275932985095,-0.02388500401151157,0.3201535709800943,0.1024469818813838,0.09330396987837171
EE,0.025757795960248055,0.20283211326914843,-0.04125040063453831,0.07328842998744846,0.14926976574596743,0.2232871568376332,0.3335429157012115,1.0,0.05607753763893149,0.5917170215566123,0.11657719755708876,0.12251463608897742,-6.407733044445495e-05,0.02354526965123926,0.07709227558227616,0.06408610420721057,0.0501599390082929,0.49809044544352044,0.1761106924804312,0.7500050302410741,0.23676990806030557,0.30256804014610855,0.2769884396786441,0.047597222770388595,-0.022928515838335446,0.0005739541990860632,0.5267102353715399,0.06676594335494365,0.03301582192328529
ES,-0.007759518560855219,0.10734044248016156,0.0037178027710035467,0.06494111557918696,-0.013475724633051932,0.027973960564312807,0.03955627599931722,0.05607753763893149,1.0,0.059012005019173364,0.26259927199942357,0.0020061905833474673,0.11776357051993912,0.168393354023122,0.022700024367550368,-0.04998577240193717,0.23028075841017273,0.023439548381327325,0.1433091768175923,0.055224139071193404,0.05757430501044595,-0.024208934482606095,-0.027252934560071145,0.586394057227332,-0.043287807102368105,0.09086106788933952,0.05030269774499141,0.12402175961787794,-0.020550064062235713
FI,0.022040713925219956,0.09688431721516921,-0.03492842314270997,0.054130868655503234,0.06757154088349707,0.10064509912944752,0.17118136109055793,0.5917170215566123,0.059012005019173364,1.0,0.08580397522188357,0.06917023619358467,0.013781912897282173,-0.004811469031986892,0.05403787794538814,0.05266068767703211,0.0572440139062966,0.278407647548036,0.08356239942276139,0.41719431338351065,0.08817957420589008,0.2211877522408197,0.15185835577721235,0.08624082017452973,-0.02052602323907778,0.018256181326395216,0.4463937731706196,-2.572741937671985e-06,0.02471674887287557
