country1,country2,best_copula,clayton_cvm,gumbel_cvm,gaussian_cvm,clayton_lambda_L,empirical_lambda_L,gumbel_lambda_U,gaussian_rho,n_obs
AT,BE,gumbel,5.48747118574346e-05,5.0344557599508385e-06,8.217135381955772e-06,0.0014576474488496418,0.0791514598540146,0.10788459496393532,0.14129411633081854,87672
AT,BG,gaussian,4.419552093496971e-05,9.17297734042369e-06,5.852719301790357e-06,0.0010207476816760717,0.05885036496350365,0.09443349156424219,0.1294965357166955,87670
AT,CH,gaussian,0.00014845353083914166,2.9837204194117072e-05,1.8529385670625605e-05,0.0313390069548381,0.060903284671532845,0.17153034431335845,0.22671470787584874,87672
AT,CZ,gaussian,0.00042628367216473946,6.319635479935302e-05,4.447642452820823e-05,0.39912604427050824,0.23408624229979466,0.4277923424707222,0.5622226495143698,87667
AT,DE,gaussian,0.00013242646168431713,1.2661693438104833e-05,8.854636090783013e-06,0.07708783137722859,0.12020985401459854,0.21186042208968758,0.28434028413766205,87672
AT,DK,gumbel,6.848844191871703e-05,2.9441074449990913e-06,9.586208682244297e-06,0.0007936231637020775,0.06706204379562043,0.11589979125200167,0.14392470650412623,87670
AT,EE,gumbel,3.278748356025112e-05,2.4946522540838887e-06,8.61500108240015e-06,1.1972537942413865e-08,0.04279176201372998,0.06988316819587359,0.0805666974534115,87396
AT,ES,gumbel,6.867988938796628e-05,9.715777778293706e-06,1.0893545429455995e-05,0.0031884496666425653,0.07186858316221766,0.11451108534116305,0.14690394785809763,87649
AT,FI,gumbel,4.614162227618047e-05,7.335606915726357e-06,8.141796726128604e-06,0.001272961904629794,0.06847751654873317,0.1027301056243346,0.13717317453088249,87617
AT,FR,gaussian,8.02100053290024e-05,2.3236486773864935e-05,2.853124329191179e-06,0.044145443129959154,0.08829568788501027,0.16422680679808943,0.23169457101877994,87653
AT,GB,gumbel,4.742274485544817e-05,2.277222115960545e-06,1.0512406592528667e-05,4.798531187817948e-05,0.059967585089141004,0.1008974608148705,0.12003150916472041,86378
AT,GR,gumbel,5.6923458520700667e-05,2.4985355215984308e-05,3.392721925236957e-05,2.6092090365958344e-06,0.06001825650387951,0.0846780809119303,0.1020683553453586,87636
AT,HR,gaussian,6.727980368583284e-05,1.0432216859257674e-05,8.619866172022541e-06,0.007606311577835519,0.05796010538200978,0.12725212569555788,0.17290919478309588,52608
AT,HU,gumbel,0.0008545302609448006,0.0001615783555694564,0.0005352953035434646,0.6970857804507159,0.41332116788321166,0.6628895645415325,0.8200270418495739,87671
AT,IE,gumbel,4.147828735348729e-05,7.529723994574285e-06,1.8474232761208646e-05,2.010402626277017e-06,0.06443476266911259,0.08981206001273523,0.10117009389528302,87227
AT,IT,gumbel,0.0002273095380736403,1.2162006160635722e-05,2.0143209605808743e-05,0.08882014057206977,0.0762383017575896,0.24466830595544864,0.314007595347206,87622
AT,LT,gumbel,7.915536884860666e-05,2.8340450101520025e-06,1.5148678205219165e-05,0.006804499713294875,0.07526632700324225,0.14638299385585207,0.18146383024905774,86719
AT,LU,gaussian,7.9967379270574e-05,1.0258058987231096e-05,5.49677718657019e-06,0.023869457153984305,0.07527372262773722,0.15619355612975072,0.20835482854143453,87672
AT,LV,gaussian,0.0002139001050837289,0.00012996010848228978,0.00012657302717320205,9.767625049562976e-05,0.08449417675268327,0.09284240349572603,0.10952732355617116,87587
AT,NL,gumbel,8.83558065872454e-05,9.437744940810607e-06,1.3009869892662066e-05,0.005346565861923931,0.07139598540145986,0.13543932177788842,0.17926653116287308,87672
AT,NO,gumbel,8.437073483050721e-05,1.6440182351413647e-05,2.2290320833644982e-05,0.000558465163160233,0.05247547342003194,0.10986858780826769,0.14826459817683754,87668
AT,PL,gumbel,0.00023625864103018262,8.779345785900996e-06,2.178415660920415e-05,0.15800600527334166,0.13458029197080293,0.2837746172436453,0.3664304543866376,87672
AT,PT,gaussian,2.317958560965577e-05,6.005238283933505e-06,5.703800676025829e-06,1.1811281368038866e-05,0.059534671532846715,0.06187519519733908,0.07526113504580886,87672
AT,RO,gaussian,5.500755978584654e-05,6.778167884855716e-06,6.662474570166983e-06,0.008872284671542061,0.07996344528215672,0.12384802355656199,0.16663752098932016,87550
AT,RS,gaussian,0.00042613897754316453,0.00032633583004859136,0.0003180296743353605,0.030038514323294845,0.0,0.17219962651197185,0.21662232002791748,26304
AT,SE,gumbel,4.076170660653076e-05,5.53002980681804e-06,1.148270529160072e-05,0.0018030365212086282,0.0714775062799726,0.11010507574502526,0.14181838376211017,87575
