year,n_countries,n_samples,min,p1,p5,p10,mean,max,std,cv
2015,27,8069,6739.74,10498.225999999999,14515.505500000001,17075.293,32502.90679648449,71908.4175,13363.232404091561,0.41113960938216537
2016,27,8128,5457.2875,10695.828749999999,14602.039875,17246.336249999997,31973.586096518204,77183.01,13218.854393007823,0.4134304595394542
2017,27,8546,8199.455,12946.93525,17206.2175,19982.198749999996,38248.852308097354,90292.7675,16024.185324891696,0.4189455201378512
2018,27,8397,7060.799999999998,11257.732299999998,15834.124000000002,18932.8545,39900.519387281165,102055.3925,18084.022512356038,0.45322774715861386
2019,28,8684,8375.155,14342.467974999998,20889.93575,24644.94825,45696.676758214344,102122.94750000002,18768.694770445607,0.41072340708171484
2020,28,8655,8798.8025,13909.137849999997,19084.7845,22799.611500000003,50427.05153235124,119800.2375,22318.142548415577,0.44258273823718364
2021,28,8701,7712.6500000000015,14700.1555,19818.035000000003,22894.456499999997,49275.31199168678,124981.48499999999,22020.678173047945,0.44689068994150755
2022,29,7490,11120.775500000002,17963.603450000002,24373.469225,28264.53355,54708.21425269248,132176.9,24070.25852255717,0.4399752185545436
2023,29,8671,9905.365500000002,18337.139949999997,23962.534249999997,28174.3405,59802.66324643447,149116.44800000003,26894.021136653308,0.44971276656741155
2024,29,8615,9994.708499999999,17613.92363,23793.871651,28364.6521,60963.72776663273,156307.11250000008,28750.735568531203,0.4716039622542134
