pair,pearson_r,band,band_lo_h,band_hi_h,mean_band_correlation
BE-NL,0.8464596190629483,Sub-synoptic (6-48 h),6,48,0.6453678277024543
BE-NL,0.8464596190629483,Synoptic (2-7 d),48,168,0.8501851360124422
BE-NL,0.8464596190629483,Planetary (>30 d),720,1500,0.9408527850747447
NO-SE,0.6733463312718193,Sub-synoptic (6-48 h),6,48,0.014036077020601148
NO-SE,0.6733463312718193,Synoptic (2-7 d),48,168,0.4278648799032647
NO-SE,0.6733463312718193,Planetary (>30 d),720,1500,0.48625528609158586
DE-FR,0.5881366765679786,Sub-synoptic (6-48 h),6,48,0.16640467408925
DE-FR,0.5881366765679786,Synoptic (2-7 d),48,168,0.35711803718109514
DE-FR,0.5881366765679786,Planetary (>30 d),720,1500,0.6941542714005421
DE-ES,0.15107953398498292,Sub-synoptic (6-48 h),6,48,-0.009367663599719423
DE-ES,0.15107953398498292,Synoptic (2-7 d),48,168,-0.006565880493504386
DE-ES,0.15107953398498292,Planetary (>30 d),720,1500,0.0012229242459062123
GB-GR,0.16430415098399356,Sub-synoptic (6-48 h),6,48,0.00035677134427932844
GB-GR,0.16430415098399356,Synoptic (2-7 d),48,168,-0.029679571990654647
GB-GR,0.16430415098399356,Planetary (>30 d),720,1500,-0.09759846528513742
PT-FI,0.09248834757098569,Sub-synoptic (6-48 h),6,48,0.012018918025485756
PT-FI,0.09248834757098569,Synoptic (2-7 d),48,168,0.02557553515829413
PT-FI,0.09248834757098569,Planetary (>30 d),720,1500,-0.156401733316559
